gene_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
LOC126981843,10.37,7.22,18.35,6.49,5.58,4.27,2.78,3.41,6.49,4.5,4.56,0.89,1.87,2.07,3.19,3.91,4.23,3.08,3.69,2.89
LOC126981844,21.36,15.94,17.4,24.97,23.51,19.71,21.13,18.48,21.73,21.76,21.56,13.14,11.4,7.51,6,11.97,7.41,9.43,7.79,5.49
LOC126981845,1.6,1.06,0.27,1.07,0.7,1.18,0.48,0.19,0.52,0.84,0.57,0,0.34,0,0.31,0.27,0.15,0.26,0.37,0
LOC126981846,11.06,6.17,9.51,14.7,18.78,13.75,13.46,15.99,19.81,22.66,17.61,8.83,7.92,4.99,11.04,7.7,11.45,9.42,5.07,6.33
LOC126981847,5.21,12.59,4.82,5.5,4.46,3.87,4.02,5.86,6.27,2.39,5.9,2.37,2.01,1.8,1.24,1.1,1.82,1.06,2.53,2.85
LOC126981848,6.91,26.26,16.7,10.97,7.8,7.75,8.64,21.42,15.03,7.43,11.32,1.84,3.66,2.87,1.47,2.21,2.1,0.7,6.61,3.5
LOC126981849,18.07,26.34,13.07,14.83,12.98,12.33,14.92,21.3,23.11,23.88,20.7,6.56,7.04,7.51,2.27,5.29,3.47,2.17,5.66,2.42
LOC126981850,0.07,0.08,0.2,0.07,0,0.05,0,0.14,0,0,0.1,0,0,0,0,0.05,0,0,0.32,0
LOC126981851,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0
LOC126981852,0.11,0.12,0.22,0.31,0,0.37,0.27,0.34,1.58,0.59,0.86,0.09,0.47,0.58,1.17,0.39,1.81,1.14,1.2,1.13
LOC126981853,391.48,371.22,422.34,1051.11,1150.79,1185.54,1225.84,1006.02,1454.17,2059.2,1602.96,949.01,829.15,841.86,749.38,809.06,741.26,734.83,789.84,691.32
LOC126981854,12.14,19.58,20.83,4.11,3.46,1.97,2.52,3.13,5.09,1.71,4.93,0.34,0.13,0.43,0.3,0.98,0.79,0.1,0.86,0.31
LOC126981855,4.93,5.66,15.38,12.3,10.25,60.33,90.62,67.06,90.99,62.34,81.24,80.77,79.68,47.6,36.36,27.96,33.4,31.91,37.78,37.01
LOC126981856,13.64,18.7,19.22,27.64,32.76,12.15,9.71,14.33,13.24,12.04,13.41,8.93,4.45,4.29,6.13,9.16,5.36,8.48,4.42,4.51
LOC126981857,0.04,0.02,0.06,1.22,1.44,1.11,1.7,1.39,1.75,0.54,1.34,0.55,0.42,0.56,0.02,0.04,0.09,0,0,0
LOC126981858,1.51,1.77,2.22,0.62,0.82,1.01,0.71,0.79,1.9,0.59,1.19,0.28,0.27,0.46,0.03,0.28,0.25,0.02,0.07,0.04
LOC126981859,893.76,746.06,908.46,386.3,420.46,205.13,201.08,203.31,132.55,135.74,128.28,98.11,104.27,74.07,43.38,80.88,66.79,105.1,45.05,93.2
LOC126981860,5.66,11.49,9.39,6.44,6.49,4.5,4.51,5.35,6.01,2.75,5.28,5.38,2.5,3.48,0.9,0.83,1.65,0.94,3.22,1.61
LOC126981861,0,0.06,0,0,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0.04,0,0,0
LOC126981862,5.14,18.59,13.67,9.89,10.87,39.66,43.14,53.91,69.41,87.39,149.37,24.7,29.53,5.73,10.9,49.62,31.48,29.56,48.44,5.25
LOC126981863,0.25,0.94,0.58,0.6,0.25,0.61,1.72,3.56,3.33,0.56,3.7,0.11,0.12,0.07,0.25,0.39,0.34,0.25,1.4,0.75
LOC126981864,1.54,0.41,0.83,0.11,0.51,0.19,0.1,0.12,0,0.27,0.18,0.1,0.11,0,0.29,0.09,0,0,0,0.14
LOC126981865,0.28,0.74,0.19,0.25,0,0.1,0.22,1.05,1.08,0.29,0.99,0.44,0.24,0,0,0.38,0.4,0.09,0.91,0.29
LOC126981866,2.42,19.64,1.45,1.72,0.54,2.01,1.69,5.77,5.8,3.05,5.8,1.54,0.92,1.29,0.91,2.57,2.81,0.56,15.66,8.48
LOC126981867,2.53,7.09,2.69,0.88,0.86,1.51,1.77,2.81,5.88,2.47,5.39,1.92,1.28,0.44,1.11,1.05,2.61,0.6,3.59,2.29
LOC126981868,0,0,0.07,0.23,0.26,0.04,0.04,0.05,0.07,0.11,0.07,0,0,0.05,0,0.14,0,0,0,0.06
LOC126981869,255.76,235.33,209.23,167.73,177.31,95.94,101.9,107.05,96.58,94.14,98.19,53.57,59.74,50.19,32.1,51.09,37.97,54.27,21.99,33.13
LOC126981870,0.04,0.1,0.12,33.22,31.83,0.28,0.46,0.72,0.18,0.05,0.19,0.22,0.08,0.14,0,0.12,0.03,0.06,0.38,0.05
LOC126981871,0,0,0,4.13,4.67,0.07,0,0.09,0.85,0.59,0.93,0.89,14.63,1.61,0,0.32,0,0.12,0,0
LOC126981872,0.04,0.12,0,0.03,0.08,0,0,0.07,0,0.04,0,0,0,0,0,0,0,0,0.07,0
LOC126981873,2.82,5.66,3.6,6.61,5.85,8.43,9.73,6.74,8.84,7.58,6.43,7.11,7.12,7.79,5.07,5.69,4.04,3.41,2.36,4.65
LOC126981874,0.98,0.53,1.31,0.58,0.36,0,1.31,0.6,0.8,0.68,0.9,0,1.45,0.6,0,0.22,0.43,0.84,0,0
LOC126981875,3.05,8.89,1.3,0.73,1.08,1.79,0.65,2.36,1.45,1.69,0.55,1.86,1.16,0,0,0.52,0.42,0,0.18,0.21
LOC126981876,0.26,0.45,0.03,0.39,0.39,0.22,0.17,0.11,0.6,0.42,0.37,0.1,0.03,0.12,0.14,0.11,0.09,0.04,0.06,0.06
LOC126981877,108.47,75.4,79.81,33.24,32.03,10.8,9.71,11.56,10.57,9.21,8.15,3.21,3.03,3.13,3.84,6.46,4.57,6.58,4.43,3.02
LOC126981878,4.28,3.37,3.22,1.43,1.19,1.29,1,1.01,1.81,1.5,1.18,0.28,0.15,0.05,0.34,0.48,0.31,0.16,0.25,0.49
LOC126981879,3.39,6.73,5.96,0.67,1.22,0.96,0.54,1.37,2.61,0.5,1.6,0.13,0.29,0.25,0.28,0.14,0.38,0.17,1.07,0.87
LOC126981880,2.09,4.35,1.2,1.17,1.54,3.34,3.19,4.16,6.75,6.07,7.3,2.26,2.68,4.02,15.61,4.92,7.22,2.97,10.43,13.17
LOC126981881,4.34,13.25,11.08,41.7,41.87,213.12,225.94,346.11,39.12,9.69,36.65,213.46,119.85,236.07,20.62,14.83,114.6,96.45,37.77,384.93
LOC126981882,41.32,74.21,44.95,113.33,107.62,80.89,86.06,125.83,125.93,107.23,121.38,35.82,40.88,44.2,24.73,59.86,33.63,26.1,59.62,38.24
LOC126981883,0,0,0,0.23,0,0,0,0,0.67,0,0.36,0.2,0.22,0,0,0,0.19,0,0,0
LOC126981884,4.62,16.87,9,3.58,3.01,3.19,4,7.24,4.2,0.64,2.83,19.31,41.81,19.44,0.35,0.28,0.98,0.15,1.15,1.37
LOC126981885,6.47,12.73,6.33,2.38,2.74,1.65,2.74,2.89,5.68,4.13,6.03,1.16,2.51,2.8,3.73,3.15,4.05,2.73,4.36,4.86
LOC126981886,0,0,0,0,0.37,0,0.21,0,0,0,0,0.21,0,0,0,0,0.4,0,0,0
LOC126981887,0,0.11,0,0.27,0.42,0.22,0.16,0.66,0.13,0,0.28,0.08,0.09,0.1,0.08,0.61,0.29,0.13,0,0.21
LOC126981888,21.72,23.56,29.74,16.59,18.21,15.3,15.75,18.26,14.29,14.48,14.94,7.81,7.99,9.67,8.33,8.83,7.91,7.45,7.84,8.97
