transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XR_007762619.1,0.03024,0.029046,0,0.131689,0.155579,0.297841,0.284496,0.139729,0.139376,0.235974,0.355164,0.163457,0.106808,0.066851,0.159223,0.172354,0.222867,0,0,0.0462
XR_007762613.1,0.033324,0.020177,0,0.059085,0.062731,0.075532,0.128842,0.205255,0.127334,0.151967,0.731303,0.040781,0.070265,0.044569,0.238791,0.09305,0.220361,0,0,0.215853
XR_007762615.1,0.030721,0.029544,0,0.096184,0.047414,0.044937,0.113921,0.03491,0.107187,0.06664,0.103661,0.036071,0.142543,0.044208,0.1019,0.114512,0.069623,0,0,0.043026
XR_007762616.1,0.02999,0.027575,0,0.078844,0.031585,0.037556,0.103282,0.041026,0.069266,0.044636,0.080979,0.029397,0.154279,0.0347,0.092993,0.0755,0.108521,0,0,0.060656
XR_007762620.1,0.031305,0,0,0.089138,0.14567,0.089771,0.206475,0.073944,0.093584,0.093566,0.140146,0.077689,0.248167,0.045742,0.140815,0.193893,0.330134,0,0,0.053546
XR_007762624.1,0.028796,0.029444,0.074334,0.159182,0.276133,0.261212,0.429711,0.16053,0.929581,0.393375,0.598817,0.505916,0.134388,0.032568,0.409909,0.40512,0.225629,0,0,0.280629
XR_007762609.1,0.034079,0,0,0.072106,0.05418,0.138993,0.113769,0.048466,0,0.211938,0.09187,0.145834,0.072791,0,0.113067,0.280629,0.063625,0,0,0
XR_007762625.1,0.024119,0.029872,0,0.075633,0.019426,0.036777,0.110624,0.031553,0.067214,0.044835,0.168384,0.029804,0.037317,0.016339,0.111515,0.052027,0.043152,0,0,0.043639
XR_007762621.1,0.028036,0.029682,0.03664,0.076185,0.199802,0.148927,0.28024,0.202376,0.227489,0.122972,0.064294,0.093596,0.041655,0.018615,0.427624,0.14654,0.216837,0,0,0.037554
XM_050883576.1,6.036198,8.233401,4.553316,3.066094,2.695478,2.342969,1.457194,2.920979,3.195481,2.88391,2.155361,0.491155,0.550681,0.485427,0.906405,1.933883,1.040554,0,0,0.702212
XM_050883570.1,0.077676,0.403789,0.038035,0,0.031043,0.05877,0,0.036803,0.090617,0.03197,0.244695,0.008703,0.046788,0.0845,0.176622,0.020795,0.040919,0,0,0.065019
XM_050883574.1,7.968422,0,0,4.898933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007762653.1,2.021524,2.487686,1.458557,1.670917,2.758066,0.671875,2.863846,0.892219,2.844145,2.280789,2.453768,1.581821,3.045945,1.272003,0.724656,0.977653,1.141596,0,0,1.695384
XM_050883568.1,0.094024,0.156577,0.042705,4.53719,2.856488,5.514211,4.177612,5.531386,2.057768,1.22789,2.386225,10.201241,5.365459,9.550108,0.394912,0.268352,0.662971,0,0,0.729093
XR_007762660.1,20.490742,13.177547,22.681684,42.26405,29.544876,44.854744,28.635605,69.811073,60.57349,28.475822,61.914104,41.236706,46.103626,41.367619,4.792211,6.834013,10.822126,0,0,4.662227
XR_007762654.1,19.43796,6.822977,6.42305,53.088978,50.617168,75.426819,145.927414,63.31319,122.442467,68.018173,117.154823,34.322155,9.47941,0,8.442444,1.070157,10.81345,0,0,15.858252
XM_050883577.1,2.9213,0,0.187955,1.038437,1.773293,0.743558,3.492667,0,0.9399,0.210407,8.073689,6.945669,4.387294,2.107155,0.140014,0,0,0,0,0
XR_007762655.1,2.637537,1.121547,5.582276,2.535211,4.95689,4.010899,5.307891,4.379619,7.829134,4.394355,1.139223,0.914655,64.742256,11.109571,0.248461,0.895589,4.313225,0,0,0.454072
XM_050883582.1,1.79826,0,0,2.458868,2.377391,4.13359,3.406054,9.328753,5.057097,4.838549,4.886795,0,4.725679,1.300494,0.270228,0,0,0,0,0
XM_050883583.1,0.764986,8.228434,0.921877,0.716867,1.439197,1.556469,1.51028,1.803128,1.526068,1.414851,2.191989,0.531287,0.035304,0.948918,0,0,0.093977,0,0,0
XM_050883580.1,0.604319,0.29209,4.134387,0.133538,0.014914,0.003557,1.952275,1.942872,0.348126,0.042694,0.005067,5.024184,0,2.733588,0,2.685682,2.441183,0,0,0.220969
XM_050883581.1,0.557987,0,0.164666,0,0.603973,0,0.62812,0.008004,0.223615,0.701833,0,0,0,0.770807,0,0,0,0,0,0
XR_007762666.1,5.10763,19.963449,3.91096,42.327099,34.877872,55.080204,64.021637,106.120071,41.007088,19.33116,43.128124,17.84001,0,9.965055,0,2.69357,8.004552,0,0,9.607088
XR_007762667.1,4.650384,21.114216,18.053558,30.592663,18.075228,31.371561,42.335396,80.693588,26.599905,16.893015,28.330227,6.785491,9.89799,9.56119,0,0,5.655647,0,0,3.858289
XR_007762668.1,0.778219,0.313918,0,3.875318,2.189417,5.616713,0.100116,2.694051,0,0.692891,6.534929,0.26196,0.504572,0.292833,0,0,0.118971,0,0,0.046922
XR_007762665.1,0.504837,15.282275,3.605478,53.856293,19.786299,50.452831,47.518032,127.652893,31.510416,17.406298,38.616249,11.352464,7.650277,4.680569,4.586158,0.379955,4.21277,0,0,0.65053
XR_007762669.1,0.266953,0.072009,0,0.244932,0.359447,1.060552,0.641719,1.23897,0,0.375514,0.21238,0.920663,0,0.798923,0,0,0.064624,0,0,0.178943
XM_050883588.1,9.315455,10.308118,1.684699,9.534724,9.21156,17.492168,15.923162,22.250113,24.608181,6.479531,16.576462,32.538139,7.986586,12.815742,1.356119,1.353601,2.907415,0,0,2.834808
XM_050883586.1,8.963722,5.803159,7.468207,15.584513,13.431892,0.153393,0.060465,0.029363,0.050545,0,0.337737,0.041564,0.029373,0.097762,0.047281,0.268652,0,0,0,0
