transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XM_050875218.1,42.16,42.95,37.93,21.39,19.54,11.35,12.61,16.26,21.05,16.62,20.48,6.58,7.88,9.23,8.4,14.59,10.1,10.12,12.55,9.61
XM_050875219.1,1.12,4.32,1.92,1.18,0,0.87,0.17,2,0,0,0,0,0,0,0,0,0,0,0.47,1.46
XM_050875220.1,2.56,0,2.11,1.3,1.77,0.29,1.03,0.95,2.79,1.37,2.16,0.69,0.76,0.89,0.81,1.19,1.05,0.68,1.7,0
XM_050875221.1,0.13,1.11,1.59,0.52,0.31,0.79,0,0.92,1.3,0.77,1.6,1.31,0.48,0.92,0.31,0.4,0.36,0.62,0.2,0.53
XM_050875222.1,0.82,0.87,0,0,0,0,0,0,0,0,0,0.37,0.2,0,0,0,0,0,0.13,0
XM_050875223.1,0,0,0,0,0,0,0.38,0,0.52,0,0,0,0,0,0,0,0,0,0.15,0
XM_050875224.1,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.42,0,0,0
XM_050875225.1,0,0,0,0,0,0.06,0.06,0.08,0.17,0.07,0.24,0,0.08,0.08,0.2,0.17,0.14,0,0,0
XM_050875226.1,0.09,0.46,0.38,0,0,0,0,0.18,0,0,0,0,0.6,0.54,0.18,0,0.17,0,0.28,0
XM_050875227.1,0.25,0,0,0.01,0.11,0.14,0.15,0,0,0.39,0,0,0.11,0,0,0.37,0,0,0,0
XM_050875228.1,0,0,0,0.44,0,0.4,0.73,1.62,2.13,0.89,3.18,0.5,0,0,0.41,0,0.48,0,0.24,0
XM_050875229.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875230.1,0,0,0.93,0.91,1.67,1.8,1.78,1.46,4.89,2.89,3.76,1.47,1.78,1.78,0.28,0.93,0,0,0.65,0
XM_050875231.1,0.71,1.06,0,0,0,0,0,0,0,0.38,0,0,0.3,0,0,0,0.25,0.36,0,0.27
XM_050875232.1,1.27,1.65,0.97,2.19,2.25,1.56,1.29,1.09,2.54,2.01,3.41,0.86,1.2,1.91,0.22,0.41,0.67,0.08,0.3,0.42
XM_050875233.1,0.62,1.97,0.48,0.88,0.82,1.14,0.76,0,1.29,0,1.16,0,0,0,0,0.3,0,0,1.74,0
XM_050875234.1,0,0,0.49,0,0,0,0.39,0,0.33,0.32,0,0,0.76,0,0.71,0.15,0.73,0.17,0,0
XM_050875235.1,0,2.26,0.59,0,0,0,0.43,2.9,0.37,0,0,0.24,0,0.35,0,0.17,0,0,0.27,2.3
XM_050875236.1,421.4,412.35,410.86,952.83,921.48,972.51,911.84,1022.72,772.2,819.17,796.25,467.34,446.98,481.27,332.84,479.98,365.44,356.56,531.14,432.97
