transcript_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,heart1,heart2,heart5,hepatopancreas2,hepatopancreas4,hepatopancreas5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testist3,testist4,testist6
XM_050860911.1,1.21,3.29,3.58,7.13,5.82,7.1,4.25,0,5.86,2.52,1.46,2.35,0.93,1.9,2.96,4.88,6.17,3.6,5.34,0.75,1.36,4.26,4.6,3.37,5.9,3.41,2.99,1.21,2.06,1.93
XM_050860912.1,0,2.17,0,1.42,0.71,0,0,2.39,1.37,0.64,1.03,0,1.47,0.88,1.51,0,0.63,0,2.02,1,0.93,0.43,4.07,1.26,1.81,0,0.6,0.52,0.48,0.35
XM_050860913.1,0.86,0,0.57,1.26,4.53,3.48,0,0,4.05,0.96,0,1.96,0.33,0.47,0,2.3,0,1.73,0,1.04,1.55,0,0.38,0.47,0,0.81,0.76,0,1.21,0
XM_050860914.1,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0.91,0.18,0,0,1.74,0,0,1.12
XM_050860915.1,0,0,0,1.5,1.55,0,0,6.53,0,0,3.09,0,1.94,0,1.14,0,1.26,0,0,1.53,0,0,2.57,0,0,1.27,0.5,0,0,0
XM_050860916.1,0,0.39,0,2.44,0,0,0,0.74,0,1.64,0.48,2.72,1.52,4.22,2,1.29,0,0,0.65,0,1.99,0.94,0.99,0.61,0.75,0,0.66,1.21,0.59,1.16
XM_050860917.1,0.3,0,0,1.39,2.49,0.57,3.2,0,1.43,0.5,0,0,0.19,4.81,0.5,0.82,0.83,5.05,0,0.4,0.19,0,0.95,0.23,1.48,0,1.04,0.25,0.47,0.48
XM_050860918.1,4.32,1.05,0,0,0,0,3.4,1.05,2.97,0,0.17,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.1,5.81,0,1.99,0,0
XM_050860919.1,0,5.43,0,1.71,1.07,0.83,2.07,0,0,8.14,2.48,2.01,0,1.51,0,0,1.11,1.2,0,0,3.07,1.77,0.57,0,0.54,1.6,0,1.28,1.47,0.78
XM_050860920.1,0.8,3.75,4.3,3.25,3.47,0,1.84,3.73,5.23,5.35,4.43,5.85,2.15,0,1.11,3.25,0,0,3.25,2.91,1.02,1.12,2.26,1.65,2,0.78,0.92,0,0.57,1.34
XM_050860921.1,3.08,9.84,11.63,8.04,13.3,1.43,2.74,3.09,9.16,5.22,3.97,8.88,4.29,1.06,1.44,4.13,2.46,3.82,5.11,5.21,3.03,1.95,1.49,2.87,2.59,1.8,2,0,2.2,0.72
XM_050860922.1,0,0.28,0,0,1.93,1.29,0.13,0.29,2.84,0,0.07,0.07,4.21,0.76,0.69,1.3,8.55,0.21,0,0,0.66,0,0,0.12,0,0.06,0.08,0,0.1,0
XM_050860923.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860924.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0
XM_050860925.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860926.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860927.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860928.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860929.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860930.1,0,0,0,0,0.37,0,0,0,0,0,0,0,0.1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860931.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860932.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860933.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860934.1,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860935.1,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.19,0,0.66
XM_050860936.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860937.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860938.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
