gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126996512,3.57,4.88,5.62,1.55,2.83,4.65,1.3,1.13,1.9,1.08,1.52,1.93,2.62,2.31,2.46,1.32,1.08,4.46,2.97,1.53,1.13,0.55,0.74,0.52,7.01,8.37,7.28,0.44,0.43,0.21
LOC126996513,0.71,2.34,1.99,4.5,3.19,1.87,0.58,1.3,1.9,2.09,2.98,1.27,4.32,4.25,4.95,1.77,1.27,1.14,1.23,1.02,2.18,1.73,2.15,1.23,3.27,2.34,1.27,0.63,1.45,1.19
LOC126996514,0.09,0.91,0.49,1.19,2.48,1.26,0.52,0.89,1.4,1.43,1.3,0.75,0.4,0.94,0.67,1.19,1.72,1.09,0.23,0.49,0.38,3.33,11.85,3.6,5.41,4.71,1.59,0.75,0.85,0.74
LOC126996515,0,0,0.11,0.05,0.05,15.78,0,0,0,84.43,176.13,28.6,0.03,0,0,0.04,17.12,0.05,0,0.04,0.03,0.6,1.05,0.79,0.11,0.2,0.04,0.05,0.02,0.07
LOC126996516,19.32,22.51,17.2,53.76,56.73,45.74,27.45,29.4,33.89,19.36,35.29,36.22,25,27.53,21,29.24,27.29,40.64,14.91,16.64,14.37,14.26,26.43,19.95,107.32,72.89,61.31,8.51,11.43,10.21
LOC126996517,0,0,0,0,0,1,0,0,0,0,0.56,0.12,0,0,0,0,0.67,0,0,0,0,0.1,0.19,0,0,0,0,0,0,0.06
LOC126996518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
LOC126996519,0.04,0.32,0.57,0.12,0.22,0,0,0,0,0.02,0,0,0.13,0.11,0.18,0,0,0.03,0,0,0.02,0.02,0,0.02,0,0.05,0.06,0,0,0
LOC126996520,0.21,2.65,0.54,12.16,5.5,0.25,2.82,2.86,1.48,2.41,2.1,0.96,0.47,0.48,0.37,1.85,1.05,0,0.9,0.29,0.31,0.59,1.56,0.2,0,0.1,0,0.76,1.72,2.79
LOC126996521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,3.47,0,0,1.04,0,0,0
